                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.598,                 2.0505,                 2.1571,                 0.4547,                0.40594,                0.38035,                0.20325,                 1.6941,                 2.0435,                 2.3462,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6065,                 2.0541,                 2.1807,                0.49004,                0.41886,                0.41311,                0.22972,                 1.6169,                 2.0608,                 2.2918,               0.001307,               0.001307,               0.001307
                     37,                 1.5956,                 2.0702,                 2.1607,                0.45044,                0.41565,                0.38323,                0.20948,                 1.6455,                  2.068,                 2.2902,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6444,                 2.0638,                 2.1917,                0.49159,                0.40162,                0.39964,                0.21908,                 1.6407,                 2.0823,                  2.321,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5816,                 1.9836,                 2.1632,                0.45471,                0.43509,                0.40296,                0.22131,                 1.6043,                 2.0461,                 2.2843,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5678,                 1.9908,                 2.1179,                0.50447,                0.42394,                0.41392,                 0.2357,                 1.6036,                 1.9842,                 2.2518,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5484,                 1.9538,                 2.0998,                0.51825,                0.41677,                 0.3982,                0.22223,                 1.5958,                 2.0684,                 2.2552,               0.001208,               0.001208,               0.001208
                     42,                 1.5808,                  1.965,                 2.1124,                0.50183,                0.40151,                0.40688,                 0.2286,                 1.6206,                 2.0525,                 2.2626,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5297,                 1.9304,                  2.081,                0.49415,                0.40467,                 0.4096,                0.23828,                 1.5682,                 2.0205,                 2.2338,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5027,                 1.8805,                 2.0774,                0.52141,                0.42698,                0.43284,                0.24122,                  1.561,                 1.9813,                 2.2283,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5414,                 1.9592,                 2.0629,                0.51983,                0.44625,                0.44334,                0.25327,                 1.5261,                 1.9512,                 2.1636,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5144,                 1.9678,                 2.0505,                0.54011,                0.43205,                0.45786,                0.26614,                 1.5199,                 1.8957,                  2.164,               0.001109,               0.001109,               0.001109
                     47,                 1.5278,                 2.0057,                 2.1098,                0.53926,                0.45538,                0.45395,                0.26036,                 1.5387,                 1.9062,                 2.2052,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4904,                 1.9249,                 2.0506,                 0.5017,                0.43408,                0.40631,                0.22452,                   1.56,                  1.978,                 2.1715,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4774,                 1.8948,                 2.0291,                0.56354,                0.43205,                0.47317,                0.27724,                 1.5232,                 1.8742,                 2.1438,              0.0010496,              0.0010496,              0.0010496
